Date,description,balance,deposit,stocks,expenses,income
2020-01-02,0,150000.0,0.0,0.0,0.0,0.0
2020-01-03,deposit | Local Company,155000.0,5000.0,0.0,0.0,0.0
2020-01-17,deposit | Local Company,160000.0,5000.0,0.0,0.0,0.0
2020-01-29,deposit | freelancing,160500.0,500.0,0.0,0.0,0.0
2020-01-31,deposit | Local Company,165500.0,5000.0,0.0,0.0,0.0
2020-02-01,credit card,161259.59,0.0,5943.8,17108.41,12868.0
2020-02-14,deposit | Local Company,166259.59,5000.0,0.0,0.0,0.0
2020-02-26,deposit | freelancing,166759.59,500.0,0.0,0.0,0.0
2020-02-28,deposit | Local Company,171759.59,5000.0,0.0,0.0,0.0
2020-03-01,credit card,161642.78,0.0,5744.18,13581.81,3465.0
2020-03-13,deposit | Local Company,166642.78,5000.0,0.0,0.0,0.0
2020-03-25,deposit | freelancing,167142.78,500.0,0.0,0.0,0.0
2020-03-27,deposit | Local Company,172142.78,5000.0,0.0,0.0,0.0
2020-04-01,credit card,163279.73,0.0,6550.72,16233.05,7370.0
2020-04-10,deposit | Local Company,168279.73,5000.0,0.0,0.0,0.0
2020-04-24,deposit | Local Company,173279.73,5000.0,0.0,0.0,0.0
2020-04-29,deposit | freelancing,173779.73,500.0,0.0,0.0,0.0
2020-05-01,credit card,163426.59,0.0,6783.21,16361.14,6008.0
2020-05-08,deposit | Local Company,168426.59,5000.0,0.0,0.0,0.0
2020-05-22,deposit | Local Company,173426.59,5000.0,0.0,0.0,0.0
2020-05-27,deposit | freelancing,173926.59,500.0,0.0,0.0,0.0
2020-06-01,credit card,164181.22,0.0,7610.84,20129.37,10384.0
2020-06-05,deposit | Local Company,169181.22,5000.0,0.0,0.0,0.0
2020-06-19,deposit | Local Company,174181.22,5000.0,0.0,0.0,0.0
2020-06-24,deposit | freelancing,174681.22,500.0,0.0,0.0,0.0
2020-07-01,credit card,158399.04,0.0,7946.34,22374.18,6092.0
2020-07-03,deposit | Local Company,163399.04,5000.0,0.0,0.0,0.0
2020-07-17,deposit | Local Company,168399.04,5000.0,0.0,0.0,0.0
2020-07-29,deposit | freelancing,168899.04,500.0,0.0,0.0,0.0
2020-07-31,deposit | Local Company,173899.04,5000.0,0.0,0.0,0.0
2020-08-01,credit card,158252.16,0.0,8977.54,25658.88,10012.0
2020-08-14,deposit | Local Company,163252.16,5000.0,0.0,0.0,0.0
2020-08-26,deposit | freelancing,163752.16,500.0,0.0,0.0,0.0
2020-08-28,deposit | Local Company,168752.16,5000.0,0.0,0.0,0.0
2020-09-01,credit card,150584.05,0.0,8303.1,19553.11,1385.0
2020-09-11,deposit | Local Company,155584.05,5000.0,0.0,0.0,0.0
2020-09-23,deposit | freelancing,156084.05,500.0,0.0,0.0,0.0
2020-09-25,deposit | Local Company,161084.05,5000.0,0.0,0.0,0.0
2020-10-01,credit card,150329.61,0.0,7941.8,18776.44,8022.0
2020-10-09,deposit | Local Company,155329.61,5000.0,0.0,0.0,0.0
2020-10-23,deposit | Local Company,160329.61,5000.0,0.0,0.0,0.0
2020-10-28,deposit | freelancing,160829.61,500.0,0.0,0.0,0.0
2020-11-01,credit card,150426.23,0.0,8473.71,18772.38,8369.0
2020-11-06,deposit | Local Company,155426.23,5000.0,0.0,0.0,0.0
2020-11-20,deposit | Local Company,160426.23,5000.0,0.0,0.0,0.0
2020-11-25,deposit | freelancing,160926.23,500.0,0.0,0.0,0.0
2020-12-01,credit card,140125.79,0.0,9000.46,24545.44,3745.0
2020-12-04,deposit | Local Company,145125.79,5000.0,0.0,0.0,0.0
2020-12-18,deposit | Local Company,150125.79,5000.0,0.0,0.0,0.0
2020-12-30,deposit | freelancing,150625.79,500.0,0.0,0.0,0.0
2021-01-01,credit card | deposit | Local Company,149932.68,5000.0,9261.37,15817.11,10124.0
2021-01-15,deposit | Local Company,154932.68,5000.0,0.0,0.0,0.0
2021-01-27,deposit | freelancing,155432.68,500.0,0.0,0.0,0.0
2021-01-29,deposit | Local Company,160432.68,5000.0,0.0,0.0,0.0
2021-02-01,credit card,141311.45,0.0,9064.97,19925.23,804.0
2021-02-12,deposit | Local Company,146311.45,5000.0,0.0,0.0,0.0
2021-02-24,deposit | freelancing,146811.45,500.0,0.0,0.0,0.0
2021-02-26,deposit | Local Company,151811.45,5000.0,0.0,0.0,0.0
2021-03-01,credit card,135899.16,0.0,9199.29,23135.29,7223.0
2021-03-12,deposit | Local Company,140899.16,5000.0,0.0,0.0,0.0
2021-03-24,deposit | freelancing,141399.16,500.0,0.0,0.0,0.0
2021-03-26,deposit | Local Company,146399.16,5000.0,0.0,0.0,0.0
2021-04-01,credit card,129211.63,0.0,9855.35,18355.53,1168.0
2021-04-09,deposit | Local Company,134211.63,5000.0,0.0,0.0,0.0
2021-04-23,deposit | Local Company,139211.63,5000.0,0.0,0.0,0.0
2021-04-28,deposit | freelancing,139711.63,500.0,0.0,0.0,0.0
2021-05-01,credit card,128142.41,0.0,9649.39,16852.22,5283.0
2021-05-07,deposit | Local Company,133142.41,5000.0,0.0,0.0,0.0
2021-05-21,deposit | Local Company,138142.41,5000.0,0.0,0.0,0.0
2021-05-26,deposit | freelancing,138642.41,500.0,0.0,0.0,0.0
2021-06-01,credit card,123732.02,0.0,10526.44,20509.39,5599.0
2021-06-04,deposit | Local Company,128732.02,5000.0,0.0,0.0,0.0
2021-06-18,deposit | Local Company,133732.02,5000.0,0.0,0.0,0.0
2021-06-23,deposit | freelancing,134232.02,500.0,0.0,0.0,0.0
2021-07-01,credit card,127835.65,0.0,11106.36,19122.37,12726.0
2021-07-02,deposit | Local Company,132835.65,5000.0,0.0,0.0,0.0
2021-07-16,deposit | Local Company,137835.65,5000.0,0.0,0.0,0.0
2021-07-28,deposit | freelancing,138335.65,500.0,0.0,0.0,0.0
