Date,description,balance,deposit,stocks,expenses,income
2020-01-02,0,150000.0,0.0,0.0,0.0,0.0
2020-01-03,deposit | Local Company,155000.0,5000.0,0.0,0.0,0.0
2020-01-17,deposit | Local Company,160000.0,5000.0,0.0,0.0,0.0
2020-01-29,deposit | freelancing,160500.0,500.0,0.0,0.0,0.0
2020-01-31,deposit | Local Company,165500.0,5000.0,0.0,0.0,0.0
2020-02-01,credit card,161982.59,0.0,5943.8,17108.41,13591.0
2020-02-14,deposit | Local Company,166982.59,5000.0,0.0,0.0,0.0
2020-02-26,deposit | freelancing,167482.59,500.0,0.0,0.0,0.0
2020-02-28,deposit | Local Company,172482.59,5000.0,0.0,0.0,0.0
2020-03-01,credit card,162365.78,0.0,5744.18,13581.81,3465.0
2020-03-13,deposit | Local Company,167365.78,5000.0,0.0,0.0,0.0
2020-03-25,deposit | freelancing,167865.78,500.0,0.0,0.0,0.0
2020-03-27,deposit | Local Company,172865.78,5000.0,0.0,0.0,0.0
2020-04-01,credit card,164002.73,0.0,6550.72,16233.05,7370.0
2020-04-10,deposit | Local Company,169002.73,5000.0,0.0,0.0,0.0
2020-04-24,deposit | Local Company,174002.73,5000.0,0.0,0.0,0.0
2020-04-29,deposit | freelancing,174502.73,500.0,0.0,0.0,0.0
2020-05-01,credit card,164982.77,0.0,6783.21,15527.96,6008.0
2020-05-08,deposit | Local Company,169982.77,5000.0,0.0,0.0,0.0
2020-05-22,deposit | Local Company,174982.77,5000.0,0.0,0.0,0.0
2020-05-27,deposit | freelancing,175482.77,500.0,0.0,0.0,0.0
2020-06-01,credit card,166783.74,0.0,7610.84,18723.03,10024.0
2020-06-05,deposit | Local Company,171783.74,5000.0,0.0,0.0,0.0
2020-06-19,deposit | Local Company,176783.74,5000.0,0.0,0.0,0.0
2020-06-24,deposit | freelancing,177283.74,500.0,0.0,0.0,0.0
2020-07-01,credit card,162809.11,0.0,7946.34,20566.63,6092.0
2020-07-03,deposit | Local Company,167809.11,5000.0,0.0,0.0,0.0
2020-07-17,deposit | Local Company,172809.11,5000.0,0.0,0.0,0.0
2020-07-29,deposit | freelancing,173309.11,500.0,0.0,0.0,0.0
2020-07-31,deposit | Local Company,178309.11,5000.0,0.0,0.0,0.0
2020-08-01,credit card,164945.23,0.0,8977.54,23346.88,9983.0
2020-08-14,deposit | Local Company,169945.23,5000.0,0.0,0.0,0.0
2020-08-26,deposit | freelancing,170445.23,500.0,0.0,0.0,0.0
2020-08-28,deposit | Local Company,175445.23,5000.0,0.0,0.0,0.0
2020-09-01,credit card,157853.72,0.0,8303.1,18976.51,1385.0
2020-09-11,deposit | Local Company,162853.72,5000.0,0.0,0.0,0.0
2020-09-23,deposit | freelancing,163353.72,500.0,0.0,0.0,0.0
2020-09-25,deposit | Local Company,168353.72,5000.0,0.0,0.0,0.0
2020-10-01,credit card,160932.49,0.0,7941.8,18395.23,10974.0
2020-10-09,deposit | Local Company,165932.49,5000.0,0.0,0.0,0.0
2020-10-23,deposit | Local Company,170932.49,5000.0,0.0,0.0,0.0
2020-10-28,deposit | freelancing,171432.49,500.0,0.0,0.0,0.0
2020-11-01,credit card,158360.34,0.0,8473.71,21441.15,8369.0
2020-11-06,deposit | Local Company,163360.34,5000.0,0.0,0.0,0.0
2020-11-20,deposit | Local Company,168360.34,5000.0,0.0,0.0,0.0
2020-11-25,deposit | freelancing,168860.34,500.0,0.0,0.0,0.0
2020-12-01,credit card,149665.03,0.0,9000.46,22940.31,3745.0
2020-12-04,deposit | Local Company,154665.03,5000.0,0.0,0.0,0.0
2020-12-18,deposit | Local Company,159665.03,5000.0,0.0,0.0,0.0
2020-12-30,deposit | freelancing,160165.03,500.0,0.0,0.0,0.0
2021-01-01,credit card | deposit | Local Company,160439.92,5000.0,9261.37,15817.11,11092.0
2021-01-15,deposit | Local Company,165439.92,5000.0,0.0,0.0,0.0
2021-01-27,deposit | freelancing,165939.92,500.0,0.0,0.0,0.0
2021-01-29,deposit | Local Company,170939.92,5000.0,0.0,0.0,0.0
2021-02-01,credit card,151818.69,0.0,9064.97,19925.23,804.0
2021-02-12,deposit | Local Company,156818.69,5000.0,0.0,0.0,0.0
2021-02-24,deposit | freelancing,157318.69,500.0,0.0,0.0,0.0
2021-02-26,deposit | Local Company,162318.69,5000.0,0.0,0.0,0.0
2021-03-01,credit card,153817.11,0.0,9199.29,21808.58,13307.0
2021-03-12,deposit | Local Company,158817.11,5000.0,0.0,0.0,0.0
2021-03-24,deposit | freelancing,159317.11,500.0,0.0,0.0,0.0
2021-03-26,deposit | Local Company,164317.11,5000.0,0.0,0.0,0.0
2021-04-01,credit card,147193.27,0.0,9855.35,18291.84,1168.0
2021-04-09,deposit | Local Company,152193.27,5000.0,0.0,0.0,0.0
2021-04-23,deposit | Local Company,157193.27,5000.0,0.0,0.0,0.0
2021-04-28,deposit | freelancing,157693.27,500.0,0.0,0.0,0.0
2021-05-01,credit card,145120.36,0.0,9649.39,17855.91,5283.0
2021-05-07,deposit | Local Company,150120.36,5000.0,0.0,0.0,0.0
2021-05-21,deposit | Local Company,155120.36,5000.0,0.0,0.0,0.0
2021-05-26,deposit | freelancing,155620.36,500.0,0.0,0.0,0.0
2021-06-01,credit card,139542.55,0.0,10526.44,21676.81,5599.0
2021-06-04,deposit | Local Company,144542.55,5000.0,0.0,0.0,0.0
2021-06-18,deposit | Local Company,149542.55,5000.0,0.0,0.0,0.0
2021-06-23,deposit | freelancing,150042.55,500.0,0.0,0.0,0.0
2021-07-01,credit card,143646.18,0.0,11106.36,19122.37,12726.0
2021-07-02,deposit | Local Company,148646.18,5000.0,0.0,0.0,0.0
2021-07-16,deposit | Local Company,153646.18,5000.0,0.0,0.0,0.0
2021-07-28,deposit | freelancing,154146.18,500.0,0.0,0.0,0.0
